price,type/color,num
1500,button closure,62
3000,has regular styling,59
0,has a polo collar,56
1000,has a V-neck,56
500,has a button-down collar,54
1500,Red,54
500,Blue,120
1000,button closure,117
500,has a V-neck,98
1500,has a round neck,98
2500,has regular styling,96
500,has regular styling,324
500,has a polo collar,277
500,has a mandarin collar,259
500,clean look,234
1000,has a round neck,217
2000,has regular styling,83
500,button closure,82
500,Black,82
500,Green,79
0,Red,75
1000,clean look,178
500,Red,157
1000,has regular styling,150
1000,has a mandarin collar,138
1500,has regular styling,134
500,has a hood,74
1500,clean look,74
500,has a shirt collar,73
500,White,67
1500,has a spread collar,66
500,has a round neck,806
500,has a spread collar,741
0,has a round neck,439
1000,has a spread collar,379
