word,num
line,351
Pack,348
Yellow,340
knitted,331
jacket,321
back,312
provided,301
dialFeatures,298
brand,291
source,283
Green,678
wash,664
straight,662
Grey,660
black,643
white,590
detail,578
content,537
striped,518
regular,490
trousers,458
self,451
Pink,444
open,426
medium,416
dress,368
formal,366
grey,366
sneakers,363
Brown,357
kurta,1048
woven,996
White,977
style,870
blue,860
round,809
checked,751
design,701
pocket,685
jeans,679
shirt,2913
solid,2881
Blue,2522
printed,2404
with,2009
pair,1554
Black,1342
rise,1312
casual,1284
Navy,1114
